Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
1993-01-29,24.24139976501465,24.258641158873125,24.137951401863806,24.258641158873125,1003200
1993-02-01,24.413814544677734,24.413814544677734,24.258641994605632,24.258641994605632,480500
1993-02-02,24.465545654296875,24.482787053630418,24.344855858962077,24.396580056962705,201300
1993-02-03,24.72416877746582,24.741410178286927,24.48278916597034,24.500030566791445,529400
1993-02-04,24.82761001586914,24.879334203402202,24.53450628651513,24.810368620024786,531500
1993-02-05,24.810365676879883,24.862089858277127,24.67243452648722,24.81036567687988,492100
1993-02-08,24.810365676879883,24.896572645875292,24.775882889281714,24.81036567687988,596100
1993-02-09,24.637954711914062,24.72416169131194,24.586230524275333,24.72416169131194,122100
1993-02-10,24.67243766784668,24.689679063840984,24.568989291880865,24.637954875858075,379600
1993-02-11,24.793136596679688,24.896585010852203,24.706929584869258,24.706929584869258,19500
1993-02-12,24.60346794128418,24.75864047910587,24.60346794128418,24.75864047910587,42500
1993-02-16,23.982797622680664,24.53452265785376,23.948314807982342,24.53452265785376,374800
1993-02-17,23.96553611755371,24.01726029622469,23.87932915310208,23.982777510444038,210900
1993-02-18,23.948307037353516,24.24141086718434,23.620720404013188,24.24141086718434,378100
1993-02-19,24.034515380859375,24.034515380859375,23.91382556187371,23.94830836729819,34900
1993-02-22,24.120708465576172,24.155191251088077,24.034501501796417,24.103467072820223,513600
1993-02-23,24.10347557067871,24.206923963685917,23.98278577883697,24.18968256485138,373700
1993-02-24,24.413814544677734,24.413814544677734,24.120710838985982,24.120710838985982,26300
1993-02-25,24.465545654296875,24.482787053630418,24.344855858962077,24.396580056962705,44500
1993-02-26,24.50002670288086,24.517268100982815,24.37933691616716,24.517268100982815,66200
1993-03-01,24.431060791015625,24.58623337190422,24.396577995262604,24.58623337190422,66500
1993-03-02,24.793136596679688,24.793136596679688,24.413825744713794,24.448308549437968,182400
1993-03-03,24.89656639099121,24.913807780458654,24.793118054186536,24.827600833121426,280100
1993-03-04,24.758668899536133,24.931083028362984,24.758668899536133,24.931083028362984,89500
1993-03-05,24.689687728881836,24.896584553425537,24.67244632683653,24.79313614115369,40000
1993-03-08,25.24140167236328,25.24140167236328,24.741401229399802,24.741401229399802,50800
1993-03-09,25.155179977416992,25.206904130900373,25.10345582393361,25.18966274640591,169300
1993-03-10,25.206937789916992,25.206937789916992,25.051765122263603,25.155213567365863,194400
1993-03-11,25.137956619262695,25.29312919098654,25.10347382554629,25.22416360355372,70900
1993-03-12,24.87934112548828,24.94830672805374,24.724168519716006,24.931065327412377,643600
1993-03-15,25.00001335144043,25.000013351440426,24.862082243294548,24.862082243294548,310800
1993-03-16,25.00001335144043,25.06897890551337,25.000013351440426,25.000013351440426,30800
1993-03-17,24.84486198425293,24.965551806522026,24.81037917789033,24.965551806522026,21800
1993-03-18,25.00001335144043,25.10346168254984,24.948289185885724,24.948289185885724,59300
1993-03-19,24.962200164794922,25.10078281664666,24.96220016479492,25.10078281664666,66900
1993-03-22,24.823610305786133,24.87557878514228,24.702350520621792,24.71967334707384,183400
1993-03-23,24.87560272216797,24.910248408410546,24.840957035925396,24.892925565289257,55200
1993-03-24,24.87560272216797,24.979539780895692,24.719697134076387,24.840957035925396,37200
1993-03-25,25.031476974487305,25.0834454387942,24.85824876013099,24.892894403002252,110100
1993-03-26,24.892906188964844,25.03148882606416,24.87558335932743,25.014165996426744,101500
1993-03-29,24.996837615966797,25.118097396501632,24.910223487013344,24.910223487013344,87100
1993-03-30,25.066125869750977,25.066125869750977,24.996834575017733,25.031480222384353,56000
1993-03-31,25.04880142211914,25.204706825161374,25.048801422119137,25.13541553492038,111600
1993-04-01,24.962200164794922,25.083459985165195,24.910231670350516,25.083459985165195,129500
1993-04-02,24.44251251220703,24.7543234443259,24.44251251220703,24.7543234443259,59400
1993-04-05,24.563764572143555,24.63305586853888,24.494473275748227,24.63305586853888,172200
1993-04-06,24.494474411010742,24.615734185322676,24.42518311140392,24.615734185322676,129700
1993-04-07,24.58108901977539,24.581089019775394,24.47715206831757,24.52912054404648,28000
1993-04-08,24.546443939208984,24.68502654437036,24.44250698533795,24.68502654437036,180800
1993-04-12,24.892906188964844,24.91022901860226,24.754323551865525,24.788969211140355,348500
1993-04-13,24.94486427307129,25.031478385130566,24.858250161012013,24.87557298342387,146100
1993-04-14,24.91023063659668,24.97952195964702,24.892907805834096,24.962199128884436,119600
1993-04-15,24.91023063659668,24.962199128884436,24.80629365202117,24.892907805834096,148600
1993-04-16,24.91023063659668,24.962199128884436,24.87558497507151,24.927553467359264,47900
1993-04-19,24.806291580200195,24.97951987335802,24.788968750884415,24.91022855609489,157000
1993-04-20,24.685029983520508,24.806289779930783,24.52912453099301,24.771644123813562,279500
1993-04-21,24.667709350585938,24.73700066898646,24.598418032185418,24.73700066898646,67900
1993-04-22,24.35589027404785,24.771638045439847,24.35589027404785,24.56376415974385,97700
1993-04-23,24.2519588470459,24.373218641281127,24.217313191550115,24.303927330289568,106000
1993-04-26,24.061412811279297,24.355900945038655,23.992121485688862,24.26928678805061,62600
1993-04-27,24.321243286132812,24.321243286132812,24.026755297625506,24.026755297625506,156800
1993-04-28,24.269285202026367,24.33857652308854,24.23463954149528,24.286608032291912,85900
1993-04-29,24.37322235107422,24.37322235107422,24.182671216844074,24.321253859920542,85000
1993-04-30,24.407861709594727,24.54644431688838,24.407861709594727,24.459830187329846,88500
1993-05-03,24.563764572143555,24.56376457214355,24.338567858858738,24.44250480345173,80500
1993-05-04,24.650390625,24.737004787420943,24.581099295063247,24.615744960031623,149100
1993-05-05,24.71967124938965,24.806285374299915,24.650379949461435,24.650379949461435,109000
1993-05-06,24.633058547973633,24.70234985190605,24.61573572199053,24.685027025922945,54700
1993-05-07,24.58108901977539,24.650380320747274,24.546443369289452,24.650380320747274,68000
1993-05-10,24.633058547973633,24.771641155838463,24.61573572199053,24.61573572199053,113900
1993-05-11,24.73698616027832,24.73698616027832,24.56375796587861,24.633049243638496,42600
1993-05-12,24.70233917236328,24.719661990857222,24.633047898387506,24.633047898387506,31000
1993-05-13,24.407861709594727,24.5984127946235,24.390538883683018,24.5984127946235,129100
1993-05-14,24.390539169311523,24.477153299884364,24.373216343196958,24.407861995426092,63500
1993-05-17,24.4771728515625,24.477172851562504,24.355912971901542,24.459850011610936,34000
1993-05-18,24.459835052490234,24.511803540562095,24.373220905703796,24.494480711204808,105200
1993-05-19,24.962200164794922,24.96220016479492,24.30393256849915,24.459838051832357,50200
1993-05-20,25.031476974487305,25.031476974487305,24.910217224437886,24.96218568874478,98200
1993-05-21,24.806291580200195,25.083456849252713,24.788968750884415,25.048811190621148,221400
1993-05-24,24.91023063659668,24.996844790409604,24.858262144308927,24.858262144308927,30500
1993-05-25,24.962200164794922,25.014168659239324,24.96220016479492,25.014168659239324,191800
1993-05-26,25.27398109436035,25.29130390525436,25.014138930950203,25.03146174184421,102400
1993-05-27,25.187395095825195,25.308654907153105,25.152749435445795,25.308654907153105,53800
1993-05-28,25.066125869750977,25.17006281185084,24.944866103967797,25.17006281185084,79100
1993-06-01,25.30865478515625,25.395268935687245,25.118103653988065,25.152749314200463,28300
1993-06-02,25.27398109436035,25.3605951488304,25.135398607208273,25.239335472572332,20300
1993-06-03,25.187395095825195,25.2220407562046,25.135426605256093,25.2220407562046,21600
1993-06-04,25.100786209106445,25.118109042929152,24.996849206170186,25.118109042929152,32000
1993-06-07,25.0141544342041,25.152737007246785,25.0141544342041,25.152737007246785,121400
1993-06-08,24.78896141052246,24.944866828198705,24.78896141052246,24.944866828198705,104500
1993-06-09,24.87560272216797,24.979539780895692,24.840957035925396,24.875602722167972,43300
1993-06-10,24.892906188964844,24.91022901860226,24.80629204077777,24.858260529690014,17900
1993-06-11,24.996837615966797,25.03148326754818,24.89290066122265,24.979514790176104,647400
1993-06-14,24.962200164794922,25.048814322202258,24.96220016479492,25.03149149072079,64200
1993-06-15,24.91023063659668,25.014167621172188,24.91023063659668,24.996844790409604,142400
1993-06-16,24.962200164794922,24.96220016479492,24.840940344424645,24.910231670350516,330900
1993-06-17,25.04880142211914,25.048801422119137,24.962187309317898,25.014155776998642,37400
1993-06-18,24.84253692626953,25.03443854578425,24.84253692626953,25.03443854578425,58500
1993-06-21,24.894859313964844,24.912304905635455,24.859968130623617,24.912304905635455,29300
1993-06-22,24.912302017211914,24.92974760685982,24.8774108379161,24.92974760685982,137500
1993-06-23,24.685514450073242,24.9123071623354,24.685514450073242,24.9123071623354,227600
1993-06-24,25.016992568969727,25.016992568969727,24.755308546281757,24.755308546281757,243700
1993-06-25,24.999534606933594,25.069316978481208,24.98208901404669,24.999534606933594,44800
1993-06-28,25.27867317199707,25.27867317199707,25.086771581319383,25.12166277962442,439900
1993-06-29,25.156551361083984,25.243779347772904,25.121660166408418,25.243779347772904,207500
1993-06-30,25.156551361083984,25.243779347772904,25.121660166408418,25.191442555759554,437600
1993-07-01,25.086774826049805,25.19144843450342,25.051883623231934,25.19144843450342,605700
1993-07-02,24.947200775146484,25.0169831549371,24.859972800408208,24.99953755998945,285400
1993-07-06,24.685514450073242,24.98208953533914,24.650623263571372,24.9123071623354,246400
1993-07-07,24.755292892456055,24.79018407341794,24.668064940051348,24.668064940051348,343700
1993-07-08,25.034439086914062,25.08677589336754,24.737863850344347,24.772755054646666,248200
1993-07-09,25.104204177856445,25.10420417785644,24.982085047039906,25.034421817389852,378200
1993-07-12,25.086774826049805,25.104220427458742,25.034438021822996,25.069329224640867,373700
1993-07-13,25.06932830810547,25.174001912732212,24.929763501936474,25.104219509647717,389600
1993-07-14,25.156551361083984,25.22633375043512,25.06932337439507,25.08676897173285,617300
1993-07-15,25.05190086364746,25.139128930721444,24.999564023403074,25.139128930721444,443800
1993-07-16,24.982101440429688,25.08677504981696,24.947210237300595,25.069329448252414,216400
1993-07-19,24.964645385742188,24.982090980001967,24.894863008703076,24.982090980001967,188200
1993-07-20,25.034439086914062,25.03443908691406,24.825091861100145,24.94721107615826,68500
1993-07-21,25.016992568969727,25.016992568969727,24.92976456140707,24.999546967457196,142700
1993-07-22,24.84253692626953,25.016992944010187,24.84253692626953,24.982101740462056,632400
1993-07-23,24.964645385742188,24.964645385742188,24.877417414443297,24.894863008703076,286200
1993-07-26,25.104204177856445,25.156540948206388,25.034421817389852,25.034421817389852,121300
1993-07-27,25.086774826049805,25.139111630276613,24.999546819005126,25.121666028867676,92800
1993-07-28,25.034439086914062,25.08677589336754,24.99954788261174,25.03443908691406,30800
1993-07-29,25.173992156982422,25.243774533023952,25.05187299890974,25.086764186930505,331000
